
year,month,H(h)_m,H(i_opt)_m,H(i)_m,Hb(n)_m,Kd,T2m
2018,Apr,208.61,209.79,194.81,233.3,0.22,29.0
2018,May,227.6,205.65,181.9,242.12,0.22,32.6
2018,Jun,191.67,166.51,145.04,182.91,0.3,33.3
2018,Jul,147.27,132.63,118.45,110.2,0.44,29.9
2018,Aug,142.89,138.23,127.76,102.96,0.45,28.9
2018,Sep,132.23,143.37,138.41,125.23,0.37,27.1
2018,Oct,159.59,203.17,206.46,206.77,0.24,24.6
2018,Nov,128.13,188.83,200.19,199.24,0.22,20.5
2018,Dec,122.36,197.07,213.55,213.99,0.21,14.4
2019,Jan,124.36,188.33,201.22,193.66,0.25,13.5
2019,Feb,122.35,160.27,164.78,149.55,0.31,15.4
2019,Mar,179.43,206.92,203.33,216.18,0.25,21.0
2019,Apr,202.62,203.96,189.65,220.76,0.23,29.3
2019,May,226.04,204.24,180.7,240.59,0.23,32.4
2019,Jun,207.72,179.71,155.89,206.87,0.27,34.3
2019,Jul,154.95,139.31,124.13,121.25,0.41,30.3
2019,Aug,145.08,141.26,130.7,112.75,0.42,28.7
2019,Sep,136.66,146.38,140.81,122.86,0.39,27.8
2019,Oct,150.9,190.58,193.41,187.83,0.27,25.5
2019,Nov,117.53,168.22,177.34,164.7,0.29,21.2
2019,Dec,107.51,165.22,177.52,163.27,0.31,12.8
2020,Jan,112.78,167.33,178.05,165.81,0.29,13.0
2020,Feb,139.42,187.82,194.19,192.33,0.23,16.3
2020,Mar,171.65,197.66,194.34,198.4,0.27,20.0
2020,Apr,202.11,204.23,190.29,218.12,0.24,26.9
2020,May,224.65,203.03,179.76,235.94,0.24,30.8
2020,Jun,194.01,168.8,147.17,183.39,0.3,32.3
2020,Jul,165.9,149.11,132.61,136.56,0.38,30.5
2020,Aug,134.16,129.5,119.49,101.28,0.44,28.9
2020,Sep,159.6,174.6,168.61,167.78,0.3,29.6
2020,Oct,164.5,210.22,213.73,218.84,0.22,25.8
2020,Nov,128.04,188.64,199.98,199.82,0.23,18.9
2020,Dec,121.78,196.0,212.36,212.6,0.21,14.5
